timestamp,BTC close(USD),BTC mktcap(USD),ETH close(USD),ETH mktcap(USD),BNB close(USD),BNB mktcap(USD),XRP close(USD),XRP mktcap(USD),ADA close(USD),ADA mktcap(USD),LTC close(USD),LTC mktcap(USD),XLM close(USD),XLM mktcap(USD),EOS close(USD),EOS mktcap(USD),QTUM close(USD),QTUM mktcap(USD),TRX close(USD),TRX mktcap(USD)
2021-04-21,56395.68,1609.784422,2350.71,41417.44231,576.7544,426547.695,1.40664,36947684.6,1.26773,15417016.4,267.23,64719.02149,0.52482,15456016.1,6.7764,1835882.92,16.727,544961.652,0.13405,96483368.8
2021-04-20,56425.0,72744.482151,2330.03,992240.809,586.3635,5730895.325,1.38501,1522196293.5,1.26689,470266399.2,260.68,2111225.32553,0.52877,278004526.2,6.6944,43365500.85,17.496,7424156.424,0.13279,3116150665.0
2021-04-19,55633.14,78229.042267,2161.12,820592.26555,504.0322,5031325.713,1.30945,1608073829.4,1.1945,477279604.9,261.38,1973511.87573,0.49982,312750231.6,6.6005,54389682.92,18.299,15416616.37,0.12993,3094361723.2
2021-04-18,56150.01,124882.131824,2235.64,1475383.69204,481.4367,4468597.46,1.40797,2048345301.6,1.27693,804838502.1,273.36,3346589.56812,0.54459,455418601.4,7.2854,84548001.96,18.38,11133035.424,0.14302,4773186573.5
2021-04-17,60006.66,58912.256128,2317.6,624232.25568,514.6861,2949040.221,1.53896,1108826379.5,1.36802,323840975.1,300.86,2574519.6355,0.59137,263520955.4,7.7859,59682689.57,17.246,5098480.021,0.15535,4516595321.3
2021-04-16,61334.8,91764.139884,2422.67,999163.75205,508.2743,4192218.462,1.54805,1805450664.8,1.40989,562141264.2,308.43,3150447.99928,0.61005,376225078.7,8.4974,84992024.62,18.348,9321673.664,0.16091,6725692463.3
2021-04-15,63159.98,51649.70034,2514.04,681950.96645,541.8824,2306850.045,1.75781,1124377879.6,1.4782,413204000.6,285.63,1409760.53776,0.63966,316537391.5,7.8873,34988131.53,17.62,4002554.302,0.16421,5137733985.6
2021-04-14,62959.53,82616.343993,2432.6,972931.60866,550.0182,4213337.251,1.83468,2119704174.5,1.45092,1053166777.6,278.86,1989435.79148,0.63505,619287714.6,7.6652,76637404.79,15.895,5800752.061,0.1404,4796784411.7
2021-04-13,63575.0,82848.688746,2299.19,782608.6209,551.6442,5447746.544,1.79611,2515240116.42,1.41246,605026285.0,267.59,1931888.55344,0.65701,863195026.4,7.3816,48379475.85,15.052,4268551.25,0.14622,6284763382.0
2021-04-12,59860.0,56375.037117,2137.69,579093.35694,596.7104,9279328.84,1.46843,1129501823.8,1.31431,559487897.9,244.42,1370860.1631,0.59051,481035300.1,6.4775,24654068.11,14.51,4023029.694,0.12874,4811133581.9
2021-04-11,60002.43,41156.715391,2151.36,392265.50773,525.9275,3644396.11,1.35118,1972667902.4,1.26355,451246041.8,252.31,1890765.80129,0.5844,1387374053.6,6.7266,41297143.35,14.94,3454350.881,0.12214,2206490981.5
2021-04-10,59769.13,69906.424117,2133.49,655458.20894,471.2975,4659107.212,1.3728,2713439019.68,1.21747,290774078.0,256.34,1859281.88304,0.56192,807705249.0,6.6137,29718846.38,15.907,5478337.1,0.1263,3257594697.4
2021-04-09,58142.54,40831.884911,2066.87,426387.4379,453.9937,3670424.433,1.01721,964539570.1,1.20201,156767192.2,221.12,688918.8215,0.48607,223808564.0,6.2072,22024528.91,15.745,5060428.256,0.11584,2309522635.3
2021-04-08,58077.52,44283.147019,2080.46,501355.998,418.7048,4092498.638,1.05599,1232242484.4,1.21926,215242842.9,226.11,1074942.89645,0.505,294430470.5,6.442,29919017.72,16.809,8442948.967,0.12349,3443498300.5
2021-04-07,55953.45,71228.405659,1963.47,892984.90422,375.5538,6179859.708,0.91542,2128341583.9,1.17359,405313990.0,219.05,2263475.4652,0.47257,557970971.5,5.8824,66141509.12,15.695,26091599.793,0.11045,5108680620.0
2021-04-06,57991.15,54201.000727,2112.21,673386.05575,403.3648,4481056.436,1.09663,4053245753.09,1.252,726926008.5,237.04,2444849.53403,0.54206,883367345.9,6.6436,67368981.92,15.252,15144440.218,0.12401,6254159263.2
2021-04-05,59129.99,54258.01579,2107.38,684923.61494,368.0263,3473780.055,0.91584,3325470561.47,1.2118,318801564.5,221.48,1329743.7613,0.53706,879513379.4,6.6959,82205391.71,11.838,6354676.765,0.13655,7842044888.6
2021-04-04,58202.01,41314.081973,2075.69,514345.76554,348.8617,2730876.03,0.635,664457346.2,1.18206,204575492.2,202.21,565154.10714,0.42851,220000117.4,6.28,57685148.82,10.77,4861986.26,0.12761,7398771026.9
2021-04-03,57051.94,47409.852113,2008.52,770176.32192,321.9497,3099870.848,0.57831,991064844.8,1.16238,313837978.9,195.23,956126.60492,0.40809,335192184.8,5.4107,80619950.47,9.749,5984713.878,0.10143,7464330743.1
2021-04-02,58950.01,47382.418781,2133.69,846197.93215,338.2932,4205858.478,0.60701,800475396.4,1.18998,314062254.4,211.46,942970.73038,0.43897,489374356.2,6.2557,91016938.14,10.178,4195278.538,0.09232,3558201740.2
2021-04-01,58720.44,47415.61722,1968.05,741585.07266,334.7991,4390708.581,0.57087,710919375.0,1.18377,212963382.6,202.86,876741.40869,0.4243,291671172.2,5.5947,91899102.98,10.032,12330289.275,0.08543,5624820649.0
2021-03-31,58740.55,60975.542666,1919.37,746995.8591,302.3724,4719335.506,0.56982,666984204.3,1.19191,302818874.6,196.7,698229.63786,0.4056,211491017.1,4.8021,50494289.94,9.389,6852457.125,0.09296,10236274771.4
2021-03-30,58746.57,55122.443122,1840.46,568842.00526,311.2962,5532768.33,0.5621,574769642.5,1.21189,257460678.6,195.74,932290.6498,0.40076,172128546.6,4.3361,19014503.23,8.76,5136537.649,0.06598,1516852370.8
2021-03-29,57635.47,67857.937398,1816.74,647724.46387,275.2991,2728496.99,0.56538,534252547.3,1.20239,263071765.2,193.73,904774.30423,0.40446,186088553.4,4.2785,19360839.99,8.753,4770977.646,0.06475,1271156262.5
2021-03-28,55777.63,39050.387511,1687.01,348895.51314,268.4263,3272613.755,0.54552,341522011.5,1.18983,199736804.6,184.24,380545.16211,0.39755,326410489.0,4.1106,15714660.79,8.207,4291935.964,0.06362,1161041795.8
2021-03-27,55817.14,50105.475055,1712.63,443845.49957,269.2234,3089181.848,0.54752,455498717.7,1.17678,270954337.7,184.06,475886.83873,0.38185,113503078.7,4.0912,16487912.15,8.535,7577594.181,0.0636,2569935519.7
2021-03-26,55025.59,63813.774692,1698.84,515470.92907,255.2105,2635329.155,0.56357,737749968.5,1.2142,671982901.0,183.45,721838.20194,0.3846,139086326.5,4.1849,33419274.18,8.635,16056361.427,0.06464,3151659053.8
2021-03-25,51293.78,87400.534538,1585.74,701697.00258,233.9466,3498082.827,0.51058,914285330.6,1.0956,527623538.8,171.53,956666.86464,0.36112,213538495.2,3.6745,28486210.88,8.225,20800330.413,0.05528,1760149123.5
2021-03-24,52303.65,83537.465021,1581.84,753834.52393,248.5236,3270691.795,0.48021,894167588.1,1.06902,354915791.2,176.05,1189902.97985,0.36153,170494233.5,3.6938,33240602.47,7.226,13671228.467,0.05568,2020874385.3
2021-03-23,54340.89,59789.365427,1668.08,577213.99589,255.4646,2587450.732,0.5498,1094151403.3,1.11639,371967713.8,185.83,638849.27686,0.39518,197716138.5,4.0899,22909573.87,6.999,4217601.491,0.05852,1924170090.2
2021-03-22,54083.25,62581.626169,1680.97,582727.49081,254.7976,3265655.831,0.5441,1648699048.0,1.1015,384255570.1,185.67,725506.72916,0.39238,283685967.9,4.0777,28219839.97,6.538,4969815.816,0.05927,2716901314.1
2021-03-21,57351.56,48564.470274,1782.98,465953.98749,264.6513,1973476.754,0.51651,879573341.3,1.18561,305630409.8,195.31,581731.80679,0.40347,257265778.0,4.1536,26100800.89,6.596,3106767.266,0.06337,3005393639.8
2021-03-20,58102.28,44476.941776,1806.1,451556.10639,264.3023,2377018.11,0.52613,1164006494.7,1.20046,401638128.1,200.17,473637.43878,0.41577,326157323.3,4.3278,26162178.0,6.665,3906979.21,0.0609,6465754072.0
2021-03-19,58030.01,52392.652961,1809.1,500258.42875,262.935,2262870.653,0.46651,336947303.5,1.29474,812311179.7,199.96,536877.41275,0.39486,126225533.1,4.1375,20296052.87,7.005,7870732.37,0.05862,2412204385.7
2021-03-18,57648.16,66580.406675,1776.08,603721.61056,261.4816,3152509.589,0.46893,555296456.6,1.22925,1446280469.1,199.7,774419.42586,0.39439,150306925.9,4.1434,29844241.14,6.372,4918806.084,0.05329,1276163995.9
2021-03-17,58912.97,70421.620841,1823.58,658349.44843,269.7896,2856836.919,0.4698,564997453.7,1.377,1094860557.7,205.98,885644.66746,0.40268,168153959.2,4.0867,21834414.44,6.208,3638767.133,0.05483,2706797539.2
2021-03-16,56900.75,77986.694355,1805.12,764993.40147,258.5352,3013229.0,0.46024,1446818353.8,1.24924,1248716359.1,201.6,1063051.80222,0.39563,288485490.2,4.0661,31898121.62,6.368,5207820.844,0.05237,1838243342.7
2021-03-15,55605.2,102771.427298,1793.48,1025326.79658,254.5144,3362734.143,0.43574,531041051.9,1.03103,400978353.1,200.59,1413381.72445,0.38429,188924935.0,3.8169,27198247.86,5.95,6560846.252,0.05069,1776122719.6
2021-03-14,58968.31,52601.05275,1848.1,637963.63627,263.238,2432196.535,0.43905,415693265.6,1.05243,304362465.7,213.94,806542.74173,0.38831,138069745.7,3.9256,26674595.9,5.832,2340152.909,0.05105,1355377117.0
2021-03-13,61188.39,83245.091346,1922.35,926283.22642,276.2822,3902398.386,0.45787,547809975.2,1.1,643811025.4,226.06,1330663.68103,0.40661,193537671.9,4.2816,28813745.27,6.122,3476882.467,0.05291,1799821567.5
2021-03-12,57221.72,73405.406047,1766.1,869564.6361,263.2201,5905880.87,0.43934,665250842.7,1.03207,423021914.4,220.84,2081683.73697,0.38657,184560074.9,3.7828,24719121.33,5.837,3026885.729,0.04997,1323392816.6
2021-03-11,57773.16,81914.812859,1825.78,909011.4961,290.0301,6598662.207,0.45187,535040848.2,1.1243,301611714.1,201.36,981380.1209,0.40564,176882401.1,3.9532,24375977.23,6.142,3557217.735,0.05151,1451223707.5
2021-03-10,55851.59,84749.238943,1795.12,937230.62831,278.4499,6012304.148,0.46155,597205849.7,1.13261,384497300.9,200.29,1422079.58464,0.40889,192310325.2,3.991,27216643.27,6.23,4698937.175,0.05142,1821590711.4
2021-03-09,54884.5,71656.737076,1870.51,857229.47855,293.2052,7937298.708,0.4849,495494329.0,1.1972,616039069.3,203.81,1279698.49896,0.43186,234072475.5,4.1673,28686527.23,6.558,4162255.191,0.0532,1353471935.8
2021-03-08,52375.17,66987.359664,1833.18,1149711.39987,240.5509,3045991.968,0.47412,680852595.9,1.11848,398514643.5,191.85,1171979.04352,0.41821,168682729.1,3.8981,23014527.54,6.314,2704756.093,0.05307,1515827169.1
