timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-04-21,260.73000000,270.00000000,260.67000000,267.23000000,260.73000000,270.00000000,260.67000000,267.23000000,64719.02149000,64719.02149000
2021-04-20,261.47000000,272.80000000,234.31000000,260.68000000,261.47000000,272.80000000,234.31000000,260.68000000,2111225.32553000,2111225.32553000
2021-04-19,273.35000000,284.39000000,250.21000000,261.38000000,273.35000000,284.39000000,250.21000000,261.38000000,1973511.87573000,1973511.87573000
2021-04-18,300.87000000,304.83000000,231.10000000,273.36000000,300.87000000,304.83000000,231.10000000,273.36000000,3346589.56812000,3346589.56812000
2021-04-17,308.39000000,335.69000000,296.75000000,300.86000000,308.39000000,335.69000000,296.75000000,300.86000000,2574519.63550000,2574519.63550000
2021-04-16,285.64000000,317.09000000,265.50000000,308.43000000,285.64000000,317.09000000,265.50000000,308.43000000,3150447.99928000,3150447.99928000
2021-04-15,278.80000000,290.90000000,266.00000000,285.63000000,278.80000000,290.90000000,266.00000000,285.63000000,1409760.53776000,1409760.53776000
2021-04-14,267.61000000,283.00000000,255.00000000,278.86000000,267.61000000,283.00000000,255.00000000,278.86000000,1989435.79148000,1989435.79148000
2021-04-13,244.44000000,273.54000000,244.36000000,267.59000000,244.44000000,273.54000000,244.36000000,267.59000000,1931888.55344000,1931888.55344000
2021-04-12,252.35000000,259.94000000,240.01000000,244.42000000,252.35000000,259.94000000,240.01000000,244.42000000,1370860.16310000,1370860.16310000
2021-04-11,256.55000000,263.62000000,244.77000000,252.31000000,256.55000000,263.62000000,244.77000000,252.31000000,1890765.80129000,1890765.80129000
2021-04-10,221.13000000,257.00000000,219.16000000,256.34000000,221.13000000,257.00000000,219.16000000,256.34000000,1859281.88304000,1859281.88304000
2021-04-09,226.17000000,228.99000000,218.72000000,221.12000000,226.17000000,228.99000000,218.72000000,221.12000000,688918.82150000,688918.82150000
2021-04-08,219.22000000,228.21000000,216.89000000,226.11000000,219.22000000,228.21000000,216.89000000,226.11000000,1074942.89645000,1074942.89645000
2021-04-07,236.96000000,242.99000000,210.77000000,219.05000000,236.96000000,242.99000000,210.77000000,219.05000000,2263475.46520000,2263475.46520000
2021-04-06,221.48000000,244.59000000,212.97000000,237.04000000,221.48000000,244.59000000,212.97000000,237.04000000,2444849.53403000,2444849.53403000
2021-04-05,202.24000000,225.47000000,198.07000000,221.48000000,202.24000000,225.47000000,198.07000000,221.48000000,1329743.76130000,1329743.76130000
2021-04-04,195.17000000,204.92000000,192.22000000,202.21000000,195.17000000,204.92000000,192.22000000,202.21000000,565154.10714000,565154.10714000
2021-04-03,211.44000000,217.97000000,194.85000000,195.23000000,211.44000000,217.97000000,194.85000000,195.23000000,956126.60492000,956126.60492000
2021-04-02,202.87000000,213.77000000,200.78000000,211.46000000,202.87000000,213.77000000,200.78000000,211.46000000,942970.73038000,942970.73038000
2021-04-01,196.69000000,205.00000000,194.00000000,202.86000000,196.69000000,205.00000000,194.00000000,202.86000000,876741.40869000,876741.40869000
2021-03-31,195.71000000,198.99000000,187.00000000,196.70000000,195.71000000,198.99000000,187.00000000,196.70000000,698229.63786000,698229.63786000
2021-03-30,193.73000000,200.09000000,190.34000000,195.74000000,193.73000000,200.09000000,190.34000000,195.74000000,932290.64980000,932290.64980000
2021-03-29,184.22000000,197.60000000,182.45000000,193.73000000,184.22000000,197.60000000,182.45000000,193.73000000,904774.30423000,904774.30423000
2021-03-28,184.06000000,187.29000000,180.00000000,184.24000000,184.06000000,187.29000000,180.00000000,184.24000000,380545.16211000,380545.16211000
2021-03-27,183.44000000,186.12000000,177.75000000,184.06000000,183.44000000,186.12000000,177.75000000,184.06000000,475886.83873000,475886.83873000
2021-03-26,171.53000000,183.82000000,171.44000000,183.45000000,171.53000000,183.82000000,171.44000000,183.45000000,721838.20194000,721838.20194000
2021-03-25,176.05000000,179.03000000,167.86000000,171.53000000,176.05000000,179.03000000,167.86000000,171.53000000,956666.86464000,956666.86464000
2021-03-24,185.82000000,197.17000000,172.00000000,176.05000000,185.82000000,197.17000000,172.00000000,176.05000000,1189902.97985000,1189902.97985000
2021-03-23,185.69000000,189.44000000,181.12000000,185.83000000,185.69000000,189.44000000,181.12000000,185.83000000,638849.27686000,638849.27686000
2021-03-22,195.33000000,199.00000000,184.42000000,185.67000000,195.33000000,199.00000000,184.42000000,185.67000000,725506.72916000,725506.72916000
2021-03-21,200.16000000,202.00000000,192.00000000,195.31000000,200.16000000,202.00000000,192.00000000,195.31000000,581731.80679000,581731.80679000
2021-03-20,199.96000000,206.10000000,198.82000000,200.17000000,199.96000000,206.10000000,198.82000000,200.17000000,473637.43878000,473637.43878000
2021-03-19,199.72000000,205.00000000,195.81000000,199.96000000,199.72000000,205.00000000,195.81000000,199.96000000,536877.41275000,536877.41275000
2021-03-18,205.96000000,208.25000000,199.13000000,199.70000000,205.96000000,208.25000000,199.13000000,199.70000000,774419.42586000,774419.42586000
2021-03-17,201.61000000,206.94000000,194.13000000,205.98000000,201.61000000,206.94000000,194.13000000,205.98000000,885644.66746000,885644.66746000
2021-03-16,200.59000000,205.53000000,191.15000000,201.60000000,200.59000000,205.53000000,191.15000000,201.60000000,1063051.80222000,1063051.80222000
2021-03-15,214.00000000,222.58000000,197.56000000,200.59000000,214.00000000,222.58000000,197.56000000,200.59000000,1413381.72445000,1413381.72445000
2021-03-14,226.08000000,228.12000000,213.84000000,213.94000000,226.08000000,228.12000000,213.84000000,213.94000000,806542.74173000,806542.74173000
2021-03-13,220.80000000,230.23000000,212.70000000,226.06000000,220.80000000,230.23000000,212.70000000,226.06000000,1330663.68103000,1330663.68103000
2021-03-12,201.37000000,224.23000000,198.41000000,220.84000000,201.37000000,224.23000000,198.41000000,220.84000000,2081683.73697000,2081683.73697000
2021-03-11,200.29000000,203.54000000,191.03000000,201.36000000,200.29000000,203.54000000,191.03000000,201.36000000,981380.12090000,981380.12090000
2021-03-10,203.80000000,208.00000000,191.47000000,200.29000000,203.80000000,208.00000000,191.47000000,200.29000000,1422079.58464000,1422079.58464000
2021-03-09,191.86000000,205.00000000,188.92000000,203.81000000,191.86000000,205.00000000,188.92000000,203.81000000,1279698.49896000,1279698.49896000
2021-03-08,190.75000000,195.28000000,179.58000000,191.85000000,190.75000000,195.28000000,179.58000000,191.85000000,1171979.04352000,1171979.04352000
2021-03-07,182.86000000,192.24000000,182.25000000,190.75000000,182.86000000,192.24000000,182.25000000,190.75000000,820418.23901000,820418.23901000
2021-03-06,180.21000000,184.67000000,174.68000000,182.85000000,180.21000000,184.67000000,174.68000000,182.85000000,935959.96790000,935959.96790000
2021-03-05,180.66000000,183.57000000,168.50000000,180.23000000,180.66000000,183.57000000,168.50000000,180.23000000,1182501.69882000,1182501.69882000
2021-03-04,187.70000000,194.40000000,176.83000000,180.67000000,187.70000000,194.40000000,176.83000000,180.67000000,1485337.09208000,1485337.09208000
2021-03-03,179.06000000,196.49000000,176.79000000,187.64000000,179.06000000,196.49000000,176.79000000,187.64000000,1873295.01116000,1873295.01116000
2021-03-02,175.90000000,185.32000000,170.69000000,179.08000000,175.90000000,185.32000000,170.69000000,179.08000000,1441741.00235000,1441741.00235000
2021-03-01,165.27000000,176.46000000,163.30000000,175.89000000,165.27000000,176.46000000,163.30000000,175.89000000,1216268.49518000,1216268.49518000
2021-02-28,171.75000000,173.42000000,152.88000000,165.22000000,171.75000000,173.42000000,152.88000000,165.22000000,1682228.22219000,1682228.22219000
2021-02-27,170.20000000,180.48000000,167.13000000,171.76000000,170.20000000,180.48000000,167.13000000,171.76000000,1113606.44010000,1113606.44010000
2021-02-26,179.36000000,182.86000000,162.74000000,170.25000000,179.36000000,182.86000000,162.74000000,170.25000000,2180233.25143000,2180233.25143000
2021-02-25,181.43000000,205.21000000,175.00000000,179.36000000,181.43000000,205.21000000,175.00000000,179.36000000,1961972.04220000,1961972.04220000
2021-02-24,177.35000000,189.46000000,169.08000000,181.43000000,177.35000000,189.46000000,169.08000000,181.43000000,1827554.60176000,1827554.60176000
2021-02-23,208.10000000,208.80000000,157.29000000,177.34000000,208.10000000,208.80000000,157.29000000,177.34000000,3669737.32689000,3669737.32689000
2021-02-22,227.17000000,227.39000000,180.00000000,208.32000000,227.17000000,227.39000000,180.00000000,208.32000000,2556958.22160000,2556958.22160000
2021-02-21,226.77000000,233.78000000,220.06000000,227.13000000,226.77000000,233.78000000,220.06000000,227.13000000,1268407.03046000,1268407.03046000
